Geneid	gene_name	AS-520233-LR-53525Aligned.sortedByCoord.out.bam	AS-520225-LR-53523Aligned.sortedByCoord.out.bam	AS-520224-LR-53523Aligned.sortedByCoord.out.bam	AS-520228-LR-53524Aligned.sortedByCoord.out.bam	AS-520218-LR-52931Aligned.sortedByCoord.out.bam	AS-520229-LR-53524Aligned.sortedByCoord.out.bam	AS-520226-LR-53524Aligned.sortedByCoord.out.bam	AS-520220-LR-52931Aligned.sortedByCoord.out.bam	AS-520230-LR-53525Aligned.sortedByCoord.out.bam	AS-520222-LR-53523Aligned.sortedByCoord.out.bam	AS-520223-LR-53523Aligned.sortedByCoord.out.bam	AS-520221-LR-52931Aligned.sortedByCoord.out.bam	AS-520232-LR-53525Aligned.sortedByCoord.out.bam	AS-520219-LR-52931Aligned.sortedByCoord.out.bam	AS-520227-LR-53524Aligned.sortedByCoord.out.bam	AS-520231-LR-53525Aligned.sortedByCoord.out.bam
ENSG00000231050	AL109917.1	9	9	19	11	12	10	8	18	31	27	43	19	26	12	11	37
ENSG00000169885	CALML6	0	0	0	0	0	0	0	1	1	0	2	4	0	0	0	0
ENSG00000178821	TMEM52	78	94	102	40	55	37	39	34	114	80	70	64	120	49	67	98
ENSG00000142609	CFAP74	0	0	0	0	0	0	0	1	4	1	2	0	1	1	0	0
ENSG00000233542	AL391845.2	2	2	2	4	10	5	8	3	5	8	18	11	8	8	8	11
ENSG00000187730	GABRD	3	4	2	0	0	0	1	0	3	5	3	1	1	2	3	1
ENSG00000226969	AL391845.1	1	1	0	0	0	0	0	0	2	2	0	0	1	2	0	2
ENSG00000067606	PRKCZ	1347	1473	1612	1807	1982	1618	1954	2825	3435	2945	4511	2440	1903	1740	1921	4692
ENSG00000271806	AL590822.2	0	0	0	1	0	1	0	4	0	1	2	0	0	0	0	8
ENSG00000182873	PRKCZ-AS1	19	18	40	39	31	31	29	95	96	87	159	50	29	33	55	160
ENSG00000162585	FAAP20	838	980	1181	1781	1250	1236	1239	2046	2721	2595	4110	2170	1174	1017	881	4200
ENSG00000234396	AL590822.1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000157933	SKI	998	1044	3376	3608	3421	3232	3207	4873	7158	6768	8779	5124	3401	3874	3789	8956
ENSG00000287356	AL590822.3	0	3	4	16	10	3	5	17	26	17	46	4	2	2	3	36
ENSG00000116151	MORN1	156	175	245	185	291	321	280	279	650	585	695	473	211	261	250	720
ENSG00000272161	AL589739.1	0	0	0	2	0	4	1	1	2	9	9	1	0	5	2	4
ENSG00000269896	AL513477.1	51	34	67	79	157	186	208	102	344	314	391	248	101	103	131	381
ENSG00000272420	AL513477.2	0	0	0	0	4	0	3	0	0	1	1	1	1	1	1	0
ENSG00000157916	RER1	3600	4164	5686	6184	5749	5369	5743	8594	9512	8870	13813	7964	5740	4136	4771	13845
ENSG00000157911	PEX10	1329	1433	1616	2189	2208	1689	2060	3230	4716	4339	6815	2698	1791	1905	1870	6713
ENSG00000149527	PLCH2	5	8	7	80	14	12	10	133	113	105	275	24	12	15	21	271
ENSG00000224387	AL139246.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000229393	AL139246.4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000157881	PANK4	858	932	1061	930	835	810	837	1390	1663	1665	2520	1214	1079	751	825	2414
ENSG00000197921	HES5	0	0	0	0	0	0	0	0	2	6	0	0	0	1	1	0
ENSG00000272449	AL139246.5	76	90	101	117	115	102	117	146	232	229	300	200	98	131	81	267
ENSG00000238164	TNFRSF14-AS1	58	57	77	170	368	241	288	253	592	528	1017	386	116	169	182	1026
ENSG00000157873	TNFRSF14	587	681	733	1225	1197	1135	1217	1774	2358	2308	3714	1830	809	971	1016	3840
ENSG00000225931	AL139246.2	4	1	0	3	11	6	9	2	9	7	9	18	1	3	6	12
ENSG00000228037	AL139246.3	2	0	2	9	5	13	8	10	8	11	17	12	2	8	7	18
ENSG00000157870	PRXL2B	5770	6454	7951	8470	9295	7125	8998	11909	12033	11313	19713	11591	9037	5019	5163	19816
ENSG00000142606	MMEL1	54	63	68	137	243	181	215	185	205	218	321	307	89	96	108	287
ENSG00000237058	MMEL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	TTC34	3	5	3	29	11	14	15	58	71	55	100	32	6	18	14	135
ENSG00000285945	AC242022.2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ENSG00000283259	AC242022.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000233234	AL592464.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287396	AL592464.3	0	0	1	0	0	3	2	4	1	1	0	2	0	2	4	2
ENSG00000231630	AL592464.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	AL589702.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142611	PRDM16	0	0	1	2	3	0	4	5	3	1	6	3	3	1	6	4
ENSG00000283572	MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226286	AL008733.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279839	AL512383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272235	AL590438.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000287828	AL354743.2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
ENSG00000286518	AL354743.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000130762	ARHGEF16	2187	2297	2706	2767	3027	2543	3053	3983	5235	5117	7246	4259	3015	3463	3259	7598
ENSG00000272088	AL512413.1	0	1	2	0	5	4	3	1	3	2	2	4	3	0	0	1
ENSG00000162591	MEGF6	1161	1234	1699	3179	1827	2319	1658	4033	5117	5117	6568	3866	1862	1534	1348	6661
ENSG00000207776	MIR551A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000238260	AL513320.1	0	0	1	1	0	3	2	4	2	1	2	5	1	0	3	1
ENSG00000158109	TPRG1L	2086	2316	3411	4495	3670	2866	3500	6589	6476	6083	10143	4217	3588	2797	3066	9958
ENSG00000116213	WRAP73	386	439	555	470	457	619	412	680	1060	976	1256	970	658	540	561	1312
ENSG00000078900	TP73	38	53	73	4	88	135	90	10	86	97	20	243	80	119	136	31
ENSG00000227589	AL136528.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235131	AL136528.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	TP73-AS1	275	339	455	360	487	500	459	546	1113	960	1481	804	453	400	427	1419
ENSG00000276189	AL136528.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	CCDC27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000235169	SMIM1	19	43	27	101	32	30	47	101	95	97	167	68	44	43	27	172
ENSG00000130764	LRRC47	1462	1660	2260	4088	2136	2072	2100	5456	4877	4844	7651	2959	2295	2011	2166	7701
ENSG00000266075	RN7SL574P	0	0	6	0	3	0	0	2	3	3	8	9	1	0	1	6
ENSG00000272153	AL365330.1	0	0	2	2	3	1	1	1	9	1	2	4	6	1	4	5
ENSG00000116198	CEP104	971	1061	1757	2088	1275	1347	1231	3089	3003	2749	5302	1998	1739	1204	1392	5123
ENSG00000169598	DFFB	259	266	383	225	202	322	169	329	583	488	704	460	416	256	258	682
ENSG00000198912	C1orf174	738	783	984	576	713	941	706	808	1448	1343	1439	1315	1012	764	915	1427
ENSG00000236423	LINC01134	8	11	17	0	17	16	21	13	23	24	27	40	13	16	17	22
ENSG00000233304	LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284668	LINC02780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284703	AL805961.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	EEF1DP6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	LINC01777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694	AL355602.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	Z98747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287586	Z98886.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284739	BX005132.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674	LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231510	LINC02782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	AL139823.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	Z98259.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284666	Z98259.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	Z98259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	Z97988.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	AL365255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	Z97988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	MIR4689	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	1
ENSG00000131697	NPHP4	292	306	479	271	612	568	587	368	1113	981	766	1027	510	685	632	820
ENSG00000069424	KCNAB2	143	170	282	335	301	229	297	506	857	842	1358	389	302	244	240	1334
ENSG00000116254	CHD5	2	12	10	40	0	9	7	55	29	14	46	15	10	10	13	84
ENSG00000285629	AL031847.2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000116251	RPL22	1879	2146	3495	5508	3356	3542	3473	7854	7721	7922	13412	4396	3079	2700	3282	13457
ENSG00000226944	AL031847.1	4	6	8	33	13	7	12	49	18	25	44	20	10	10	10	66
ENSG00000158286	RNF207	89	125	125	54	119	403	97	75	272	234	195	583	133	210	246	206
ENSG00000116237	ICMT	6199	6804	10434	3033	8007	8147	7855	4480	13159	12724	10531	11501	10666	8157	9709	10552
ENSG00000225077	LINC00337	4	14	11	12	12	9	14	14	26	21	27	12	10	7	11	35
ENSG00000173673	HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	GPR153	253	246	564	766	444	345	465	1122	775	739	1350	542	640	406	449	1505
ENSG00000097021	ACOT7	1978	2188	2571	2046	1422	1546	1480	2831	3195	2831	3731	2500	2680	1479	1496	3736
ENSG00000271746	AL031848.2	2	1	7	4	6	0	2	3	12	7	22	6	4	2	2	20
ENSG00000069812	HES2	14	23	37	72	30	10	26	86	50	43	129	15	36	30	26	163
ENSG00000187017	ESPN	323	385	489	1711	885	348	955	2188	968	899	2098	592	470	612	468	2010
ENSG00000265392	MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	AL031848.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215788	TNFRSF25	5	14	11	40	14	27	17	57	57	82	83	52	13	18	23	85
ENSG00000171680	PLEKHG5	66	78	85	310	108	140	89	417	335	297	601	187	87	189	161	537
ENSG00000162408	NOL9	254	250	425	693	341	638	354	972	1250	1172	1719	907	426	557	734	1648
ENSG00000253022	RNU6-731P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	AL591866.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000173662	TAS1R1	0	0	2	10	2	3	1	15	13	5	22	9	0	4	2	25
ENSG00000204859	ZBTB48	346	345	336	1119	447	463	373	1762	1185	1084	1639	812	394	782	840	1675
ENSG00000162413	KLHL21	2276	2447	3715	6723	2721	2056	2625	9645	5779	5569	9411	3514	3780	2885	3344	9319
ENSG00000116273	PHF13	1218	1204	1427	2276	1781	1752	1797	3191	3825	3508	4387	2628	1451	2576	2882	4501
ENSG00000041988	THAP3	282	277	286	1027	359	338	357	1512	773	748	1410	575	301	376	353	1443
